-730912.2160;-964480.3360;274.5750;50.801487346;14.436609167;318
-730912.0082;-964489.5378;274.9097;50.801405653;14.436629848;318.334
-730911.3064;-964519.4011;275.5750;50.80114056;14.436697351;319
-730911.0831;-964499.4885;275.2681;50.801318167;14.436662055;318.693
-730910.4187;-964509.4405;275.5750;50.801230351;14.4366906;319
-730910.2828;-964529.2886;275.5750;50.801053758;14.43673082;319
-730909.4549;-964539.2503;275.5750;50.800966055;14.436761681;319.001
-730906.5027;-964548.7985;275.5740;50.800884633;14.436821597;319
-730902.2636;-964557.8299;275.5740;50.800809388;14.4368986;319
-730897.5044;-964566.5989;275.5740;50.800737116;14.436982405;319
-730894.8629;-964576.2437;275.5740;50.800654454;14.437038141;319
-730892.4502;-964585.9418;275.8191;50.800571037;14.437090764;319.245
-730890.1685;-964595.6703;276.2045;50.80048719;14.437141604;319.631
-730887.8868;-964605.3989;276.5899;50.800403341;14.437192445;320.016
-730885.6050;-964615.1275;276.9753;50.800319493;14.437243287;320.402
-730883.3233;-964624.8561;277.3607;50.800235644;14.437294127;320.787
-730881.0416;-964634.5847;277.7461;50.800151796;14.437344967;321.173
-730878.7599;-964644.3132;278.1315;50.800067948;14.437395807;321.559
-730876.4782;-964654.0418;278.5169;50.799984099;14.437446646;321.944
-730873.9487;-964663.7149;278.5730;50.799901048;14.437500861;322
-730871.3323;-964673.3635;278.6161;50.799818321;14.437556249;322.044
-730868.0934;-964682.8027;279.2577;50.79973822;14.437619981;322.685
-730863.9100;-964691.8051;279.9038;50.799663165;14.437696142;323.332
-730858.8199;-964700.3881;280.5541;50.799592953;14.437784235;323.982
-730852.5943;-964708.1869;281.1598;50.799531114;14.437886771;324.588
-730846.2241;-964715.8741;281.6747;50.799470445;14.437991123;325.103
-730839.6125;-964723.3696;281.9975;50.799411779;14.438098497;325.426
-730833.0009;-964730.8651;282.3204;50.799353113;14.438205871;325.749
-730826.2713;-964738.2411;282.7397;50.799295655;14.438314672;326.168
-730819.1248;-964745.1945;283.4996;50.79924247;14.438428516;326.928
-730811.9783;-964752.1479;284.2595;50.799189285;14.43854236;327.688
-730804.8318;-964759.1013;285.0195;50.799136101;14.438656204;328.448
-730797.5857;-964765.9536;285.7072;50.799083938;14.438771251;329.136
-730790.0760;-964772.5382;286.2039;50.799034481;14.438889487;329.633
-730782.5663;-964779.1229;286.7005;50.798985024;14.439007722;330.129
-730775.0566;-964785.7076;287.1972;50.798935566;14.439125957;330.626
-730767.4719;-964792.2057;287.6426;50.798886971;14.439245078;331.072
-730759.6591;-964798.4408;287.9319;50.798840997;14.439366897;331.361
-730751.8462;-964804.6758;288.2212;50.798795025;14.439488717;331.65
-730744.0334;-964810.9109;288.5104;50.79874905;14.439610536;331.94
-730736.0657;-964816.9508;288.5708;50.798705004;14.439734154;332
-730728.0569;-964822.9392;288.5705;50.798661466;14.43985825;332
-730720.0482;-964828.9275;288.5703;50.798617929;14.439982345;332
