-730912.2160;-964480.3360;274.5750
-730912.0082;-964489.5378;274.9097
-730911.3064;-964519.4011;275.5750
-730911.0831;-964499.4885;275.2681
-730910.4187;-964509.4405;275.5750
-730910.2828;-964529.2886;275.5750
-730909.4549;-964539.2503;275.5750
-730906.5027;-964548.7985;275.5740
-730902.2636;-964557.8299;275.5740
-730897.5044;-964566.5989;275.5740
-730894.8629;-964576.2437;275.5740
-730892.4502;-964585.9418;275.8191
-730890.1685;-964595.6703;276.2045
-730887.8868;-964605.3989;276.5899
-730885.6050;-964615.1275;276.9753
-730883.3233;-964624.8561;277.3607
-730881.0416;-964634.5847;277.7461
-730878.7599;-964644.3132;278.1315
-730876.4782;-964654.0418;278.5169
-730873.9487;-964663.7149;278.5730
-730871.3323;-964673.3635;278.6161
-730868.0934;-964682.8027;279.2577
-730863.9100;-964691.8051;279.9038
-730858.8199;-964700.3881;280.5541
-730852.5943;-964708.1869;281.1598
-730846.2241;-964715.8741;281.6747
-730839.6125;-964723.3696;281.9975
-730833.0009;-964730.8651;282.3204
-730826.2713;-964738.2411;282.7397
-730819.1248;-964745.1945;283.4996
-730811.9783;-964752.1479;284.2595
-730804.8318;-964759.1013;285.0195
-730797.5857;-964765.9536;285.7072
-730790.0760;-964772.5382;286.2039
-730782.5663;-964779.1229;286.7005
-730775.0566;-964785.7076;287.1972
-730767.4719;-964792.2057;287.6426
-730759.6591;-964798.4408;287.9319
-730751.8462;-964804.6758;288.2212
-730744.0334;-964810.9109;288.5104
-730736.0657;-964816.9508;288.5708
-730728.0569;-964822.9392;288.5705
-730720.0482;-964828.9275;288.5703
-730712.0395;-964834.9159;288.5700
-730703.8573;-964840.6617;288.7170
-730695.6512;-964846.3741;288.8843
-730687.4450;-964852.0865;289.0516
-730679.2389;-964857.7989;289.2190
-730671.0327;-964863.5112;289.3863
-730662.8266;-964869.2236;289.5536
-730654.6081;-964874.9205;289.5700
-730646.3883;-964880.6156;289.5700
-730638.1685;-964886.3108;289.5700
-730629.9487;-964892.0060;289.5700
-730621.5635;-964897.4513;289.5699
-730613.1121;-964902.7967;289.5698
-730604.6606;-964908.1421;289.5696
-730596.2092;-964913.4875;289.5695
-730587.7577;-964918.8329;289.5694
-730579.3063;-964924.1783;289.5692
-730570.8549;-964929.5236;289.5691
-730562.4873;-964934.9925;289.7008
-730554.2404;-964940.6393;290.0227
-730545.9936;-964946.2861;290.3445
-730537.7468;-964951.9329;290.6663
-730529.5000;-964957.5798;290.9881
-730521.2532;-964963.2266;291.3099
-730513.0064;-964968.8734;291.6317
-730504.7595;-964974.5202;291.9536
-730496.5127;-964980.1670;292.2754
-730488.2659;-964985.8138;292.5972
-730480.0191;-964991.4606;292.9190
-730471.7723;-964997.1074;293.2408
-730463.5255;-965002.7542;293.5626
-730455.2786;-965008.4010;293.8845
-730447.0318;-965014.0479;294.2063
-730438.7850;-965019.6947;294.5281
-730430.5382;-965025.3415;294.8499
-730422.2914;-965030.9883;295.1717
-730414.0446;-965036.6351;295.4935
-730405.7978;-965042.2819;295.8154
-730397.5509;-965047.9287;296.1372
-730389.3041;-965053.5755;296.4590
-730381.0573;-965059.2223;296.7808
-730372.8105;-965064.8692;297.1026
-730364.5637;-965070.5160;297.4244
-730356.3169;-965076.1628;297.7463
-730348.0700;-965081.8096;298.0681
-730339.8232;-965087.4564;298.3899
-730331.5764;-965093.1032;298.7117
-730323.3296;-965098.7500;299.0335
-730315.0828;-965104.3968;299.3553
-730306.8360;-965110.0436;299.6771
-730298.5891;-965115.6904;299.9990
-730290.3423;-965121.3373;300.3208
-730282.0955;-965126.9841;300.6426
-730273.8487;-965132.6309;300.9644
-730265.6019;-965138.2777;301.2862
-730257.3551;-965143.9245;301.6080
-730249.1083;-965149.5713;301.9299
-730240.8614;-965155.2181;302.2517
-730232.6223;-965160.8755;302.5717
-730224.7552;-965167.0443;302.8062
-730216.8881;-965173.2131;303.0407
-730209.0211;-965179.3819;303.2751
-730201.1540;-965185.5507;303.5096
-730193.6602;-965192.1631;303.5660
-730186.2848;-965198.9161;303.5660
-730178.9157;-965205.6612;304.0090
-730171.5466;-965212.4063;304.4570
-730164.7867;-965219.7283;305.1286
-730158.6224;-965227.5577;305.5657
-730153.0288;-965235.8469;305.5651
-730147.7437;-965244.3285;305.8812
-730142.5006;-965252.8361;306.2404
-730137.3183;-965261.3769;306.6255
-730132.7079;-965270.2283;307.2547
-730128.0975;-965279.0798;307.8838
-730123.4871;-965287.9313;308.5130
-730119.2296;-965296.9401;309.3486
-730115.0040;-965305.9630;310.2028
-730110.7783;-965314.9860;311.0570
-730106.5526;-965324.0090;311.9112
-730102.4032;-965333.0726;312.6737
-730098.5014;-965342.2682;313.1393
-730094.5996;-965351.4638;313.6048
-730090.6978;-965360.6594;314.0703
-730086.7960;-965369.8550;314.5358
-730082.8942;-965379.0506;315.0013
-730078.9924;-965388.2463;315.4669
-730075.0906;-965397.4419;315.9324
-730071.1887;-965406.6375;316.3979
-730067.2869;-965415.8331;316.8634
-730063.3851;-965425.0287;317.3289
-730059.4833;-965434.2243;317.7945
-730055.5815;-965443.4199;318.2600
-730051.5890;-965452.5770;318.6941
-730047.4291;-965461.6629;319.0703
-730043.2692;-965470.7488;319.4465
-730039.1093;-965479.8347;319.8226
-730034.9494;-965488.9206;320.1988
-730030.7954;-965498.0091;320.5745
-730026.7950;-965507.1669;320.9391
-730022.7946;-965516.3246;321.3036
-730018.7942;-965525.4823;321.6681
-730014.7938;-965534.6400;322.0327
-730010.7933;-965543.7977;322.3972
-730006.7776;-965552.9471;322.7993
-730002.7494;-965562.0897;323.2316
-729998.7212;-965571.2322;323.6639
-729994.6930;-965580.3748;324.0962
-729990.6648;-965589.5174;324.5285
-729986.6366;-965598.6600;324.9609
-729982.6084;-965607.8026;325.3932
-729978.5802;-965616.9451;325.8255
-729974.5520;-965626.0877;326.2578
-729970.5239;-965635.2303;326.6901
